row,prediction
0,118.78267
1,118.955215
2,118.87349
3,118.829956
4,118.709816
5,118.79762
6,118.29536
7,118.18528
8,118.92747
9,118.71925
10,118.42932
11,118.43187
12,118.98307
13,119.298
14,118.35144
15,118.9835
16,118.35289
17,119.11447
18,119.340416
19,118.43256
20,122.36723
21,118.553314
22,119.52573
23,118.2087
24,119.041046
25,118.57559
26,119.092674
27,118.391174
28,118.74333
29,118.7362
30,118.182465
31,118.89135
32,118.977974
33,118.39122
34,118.50225
35,118.95128
36,118.798645
37,118.90984
38,118.70135
39,118.69301
40,119.021774
41,118.821846
42,118.929405
43,119.12258
44,119.33792
45,118.41485
46,119.00713
47,118.239006
48,119.38323
49,119.13094
50,120.11015
51,118.43031
52,118.08384
53,118.58003
54,118.2855
55,118.82388
56,118.927635
57,119.38606
58,119.66502
59,121.53217
60,118.781075
61,119.27923
62,118.49352
63,118.75971
64,119.37725
65,119.1239
66,118.83989
67,118.39159
68,118.648285
69,118.901924
70,118.32105
71,119.38222
72,119.922676
73,118.82798
74,118.64522
75,118.503654
76,119.03584
77,118.888664
78,119.311035
79,118.6157
80,118.74811
81,119.44337
82,118.77849
83,118.74743
84,119.014435
85,118.64064
86,118.22061
87,118.91142
88,119.33616
89,118.48798
90,119.176506
91,118.31868
92,118.74499
93,119.26712
94,119.21401
95,119.05306
96,118.84197
97,119.103294
98,118.96411
99,119.02144
100,119.25417
101,118.91232
102,119.09745
103,118.73973
104,118.96702
105,118.86385
106,119.62134
107,119.175514
108,119.41144
109,118.976814
110,119.37133
111,118.82103
112,118.48161
113,119.49026
114,119.1534
115,118.48921
116,118.770966
117,119.3369
118,119.445404
119,119.17383
120,119.03492
121,119.04222
122,119.70648
123,119.02235
124,118.912315
125,119.03355
126,118.12863
127,118.69883
128,118.95952
129,118.94109
130,119.39416
131,119.13317
132,118.74612
133,118.62866
134,118.74591
135,119.40118
136,118.65831
137,118.234695
138,118.914085
139,118.779
140,118.83791
141,119.5542
142,119.0179
143,119.40391
144,118.91614
145,118.72503
146,118.705696
147,118.89517
148,118.761696
149,118.94056
150,119.25277
151,118.72499
152,118.4635
153,119.21994
154,118.82334
155,119.058205
156,118.4086
157,118.53987
158,119.2833
159,118.96399
160,118.30366
161,119.69659
162,118.30026
163,118.8327
164,118.917755
165,119.00867
166,118.83529
167,118.63041
168,118.581635
169,118.652435
170,118.777695
171,118.56727
172,118.5786
173,118.94016
174,118.99891
175,119.0237
176,117.77872
177,119.239845
178,119.066696
179,119.21188
180,119.44377
